
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
438 34.29933 43 11 10 279.2324 0.031286564
439 34.14933 43 11 10 279.84277 0.033134993
440 33.99933 43 11 10 280.51416 0.032746293
441 33.849327 44 11 10 281.18546 0.02348356
442 33.699326 44 11 10 281.6738 0.030779792
443 33.549324 44 11 10 282.28418 0.03216242
444 33.399323 45 11 10 282.943 0.031110652
445 33.24932 45 11 10 283.55334 0.03173095
446 33.09932 46 11 10 284.16364 0.023629617
447 32.949318 46 11 10 284.65192 0.023633227
448 32.799316 46 11 10 285.14026 0.030260071
449 32.649315 46 11 10 285.75055 0.023664441
450 32.499313 46 12 10 286.2424 0.031108864
451 32.34931 47 12 10 286.8527 0.023326881
452 32.19931 47 12 10 287.34097 0.023326881
453 32.04931 47 12 10 287.82925 0.023326881
454 31.89931 47 12 10 288.31763 0.032072064
455 31.74931 48 12 10 288.954 0.04667288
456 31.59931 48 12 10 289.86942 0.03464019
457 31.44931 48 12 10 290.54077 0.031807672
458 31.29931 49 12 10 291.15106 0.023344832
459 31.149311 49 12 10 291.63934 0.023344094
460 30.999311 49 12 10 292.12753 0.015581544
461 30.849312 49 12 10 292.4329 0.034165557
462 30.699312 50 12 10 293.1044 0.046637952
463 30.549313 50 12 10 294.0197 0.023370694
464 30.399313 50 12 10 294.5082 0.046637952
465 30.249313 50 12 10 295.4236 0.03373644
466 30.099314 51 12 10 296.0949 0.023396978
467 29.949314 51 12 10 296.5834 0.046603415
468 29.799314 51 12 10 297.49878 0.031114988
469 29.649315 51 12 10 298.10916 0.03327722
470 29.499315 51 12 10 298.78055 0.03277147
471 29.349316 51 12 10 299.45193 0.032227576
472 29.199316 51 12 10 300.11005 0.031673774
473 29.049316 51 12 10 300.7204 0.03111882
474 28.899317 51 12 10 301.3306 0.016806025
475 28.749317 52 12 10 301.63586 0.023747593
476 28.599318 52 12 10 302.1242 0.031114843
477 28.449318 52 12 10 302.73456 0.030773235
478 28.299318 53 12 10 303.3449 0.031103127
479 28.149319 53 12 10 303.95526 0.030088482
480 27.99932 53 12 10 304.5656 0.031117387
481 27.84932 53 12 10 305.17596 0.029351685
482 27.69932 53 12 10 305.76227 0.045776907
483 27.54932 54 12 10 306.67764 0.031127468
484 27.39932 54 12 10 307.28796 0.028186457
485 27.249321 54 12 10 307.83725 0.02458894
486 27.099321 54 12 10 308.32553 0.024525626
487 26.949322 54 12 10 308.81384 0.027772803
488 26.799322 54 12 10 309.36316 0.026669597
489 26.649323 54 12 10 309.91248 0.027386557
490 26.499323 54 12 10 310.46198 0.044491723
491 26.349323 55 12 12 311.3581 0.046672825
492 26.199324 56 12 12 312.27332 0.015564011
493 26.049324 57 12 12 312.57867 0.034767974
494 25.899324 57 12 12 313.25006 0.034444712
495 25.749325 57 12 12 313.92142 0.031117298
496 25.599325 57 12 12 314.5318 0.03414009
497 25.449326 57 12 12 315.203 0.015629206
498 25.299326 57 12 12 315.50836 0.033819843
499 25.149326 57 12 12 316.17975 0.033477012
500 24.999327 57 12 12 316.85126 0.04658645
501 24.849327 57 12 12 317.76663 0.031107845
502 24.699327 58 12 12 318.37692 0.02340469
503 24.549328 58 12 12 318.8653 0.033093948
504 24.399328 59 12 12 319.5366 0.023442555
505 24.249329 59 12 12 320.02496 0.03272112
506 24.099329 60 12 12 320.69632 0.031110872
507 23.94933 60 12 12 321.3067 0.032285262
508 23.79933 61 12 12 321.97806 0.03184544
509 23.64933 61 12 12 322.5884 0.031374216
510 23.49933 61 12 12 323.19876 0.030892836
511 23.34933 61 12 12 323.8091 0.030416278
512 23.199331 62 12 12 324.41946 0.031099517
513 23.049332 62 12 12 325.02982 0.031099517
514 22.899332 62 12 12 325.64017 0.031099517
515 22.749332 62 12 12 326.25067 0.046077255
516 22.599333 62 12 12 327.16605 0.029687837
517 22.449333 63 12 12 327.7764 0.031096036
518 22.299334 64 12 12 328.3867 0.02407253
519 22.149334 64 12 12 328.87503 0.02916131
520 21.999334 64 13 12 329.49005 0.03464019
521 21.849335 64 13 12 330.16144 0.034342997
522 21.699335 64 13 12 330.83282 0.034038905
523 21.549335 64 13 12 331.5042 0.033711057
524 21.399336 65 13 12 332.17557 0.031108156
525 21.249336 65 13 12 332.78592 0.031108156
526 21.099337 65 13 12 333.3962 0.023385713
527 20.949337 65 13 12 333.8847 0.046621844
528 20.799337 65 13 12 334.8001 0.033377018
529 20.649338 65 13 12 335.4713 0.015797695
530 20.499338 66 13 12 335.77664 0.03111016
531 20.349339 66 13 12 336.38702 0.03304345
532 20.199339 66 13 12 337.05853 0.04655385
533 20.04934 66 13 12 337.97385 0.023461543
534 19.89934 66 13 12 338.46234 0.046554327
535 19.74934 66 13 12 339.37775 0.032556854
536 19.59934 66 13 12 340.04913 0.032089885
537 19.44934 67 13 12 340.69318 0.023580145
538 19.299341 67 13 12 341.18152 0.031118788
539 19.149342 68 13 12 341.79202 0.046417076
540 18.999342 69 13 12 342.70755 0.04641918
541 18.849342 69 13 12 343.62292 0.03142392
